set,instance,H0,H1,S0,S1,C0,C1,H0||C0,H0||C1,H1||C0,H1||C1,S0||C0,S0||C1,S1||C0,S1||C1,H1->C0@25%,H1->C0@50%,C0->H1@25%,C0->H1@50%
miplib,graphdraw-domain,0.08640649249226035,0.09249167540542427,0.07745332457242131,0.07070975473195058,0.11214066924427472,0.18561989784242236,0.07162454868009109,0.08547441950432463,0.0743360790221387,0.09061543359369173,0.06579957012838948,0.07387371403774097,0.05836321632129599,0.07004104429193593,0.12403917718870314,0.10648443032812496,0.10127293453031809,0.11102720374030707
miplib,assign1-5-8,0.0017396532554269505,0.0011665525588785042,0.006326162565591128,0.005069738693149732,0.011477052111099116,0.017764707802608058,0.0016285193838856257,0.0017396532553599843,0.0011665525588785038,0.001166552558835848,0.0022616010830764782,0.0033831785375546407,0.002041142747090992,0.003364887001295919,0.001166552558881595,0.001166552558881595,0.00895316821955568,0.011289616817687243
miplib,neos-911970,0.013834111651543645,0.011291934959929086,0.018479654990652485,0.04145894025237522,0.11324046363793888,0.15156156323424422,0.01317732475663408,0.013834111651543645,0.011291934959929086,0.011291934959929086,0.01796832019500698,0.017238891395838632,0.028619952884961657,0.02920899123161608,0.011291934959929086,0.011291934959929086,0.06975297162907658,0.10921141790290143
miplib,roll3000,0.06323256365842661,0.06250466974915882,0.1276353826461296,0.13513832138205123,0.14190171645381994,0.11143269494442878,0.037334087596209785,0.03642099752245318,0.036793992245247854,0.03587296130780277,0.06590848109447306,0.06646231294177025,0.06708050100026679,0.06795007427311878,0.06250466974915882,0.06250466974915882,0.10787554949567776,0.14024549315691648
miplib,radiationm40-10-02,1.0,1.0,0.6209337706797694,0.7012130127394608,0.10677476134439053,0.11727866569598874,0.10677476134439053,0.11727866569598874,0.10677476134439053,0.11727866569598874,0.09631817886630335,0.1057960021929652,0.09707435661783666,0.10655217994449849,0.35170206904882767,0.596629376753265,0.10677476134439053,0.10677476134439053
miplib,seymour,0.05644835087483871,0.05597475679151747,0.0329560766137346,0.033944958905358556,0.05639761316039303,0.02712177983259767,0.0321224191869294,0.02005426448184994,0.03196028669723768,0.02004467165738424,0.02636416243630309,0.021666454509054096,0.023675959921397916,0.018377718561250547,0.05659427026887001,0.05659427026887001,0.05572905303956641,0.05608986779866079
miplib,ns1116954,0.03853270604934854,0.042351363667209325,1.0,1.0,0.8156939682162677,1.0,0.03853270604934854,0.03853270604934854,0.042351363667209325,0.042351363667209325,0.8156939682162677,1.0,0.8156939682162677,1.0,0.042351363667209325,0.042351363667209325,0.2923513636672093,0.5423513636672094
miplib,seymour1,0.013653535195285884,0.013560552363333738,0.0193680759823756,0.012599063688027035,0.047077369113862705,0.046379873554594345,0.013653535195285884,0.013653535195285884,0.013560552363333738,0.013560552363333738,0.018190709436462213,0.01796027160457048,0.01179119016391408,0.01189850153522472,0.014847465184927827,0.015055410569027542,0.04887367914965214,0.04784252248168078
miplib,sing326,0.7167906366938567,0.7368883722924547,0.9258843931620541,1.0,0.9456623426029007,0.9799927956177347,0.7159143760321485,0.7160233388275389,0.7354771154449489,0.7355877533981435,0.8850051745938825,0.9133774512553032,0.9456623426029007,0.9799927956177347,0.808349558487606,0.7368883722924547,0.8251191875236353,0.914761259602322
miplib,neos8,0.037970346292939765,0.05087329226081841,0.0230647731278101,0.019398969889778333,0.0551474382725786,0.0420541941817265,0.018870709341736142,0.02011947428884287,0.02300106646689388,0.022865702271505476,0.014292727815618012,0.015541492762724742,0.013128687834532728,0.014377452781639459,0.05087329226081841,0.05087329226081841,0.06100323954597115,0.0551474382725786
miplib,neos-860300,0.09534326293805985,0.06195110859263396,0.15160808767527373,0.1798941607789703,0.12744277372556967,0.13957525438978857,0.06685422680526977,0.06473587633093746,0.04839601647100188,0.04755006921925605,0.09892708044861667,0.09459781127770976,0.11000375237013559,0.10727230535973134,0.061951108592633815,0.061951108592633954,0.13276053614484973,0.12744277372556967
miplib,supportcase22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miplib,dws008-01,0.9351664266715844,0.830724507360127,1.0,1.0,0.9309236958550287,1.0,0.9271835920415739,0.9351664266715844,0.830724507360127,0.830724507360127,0.9309236958550287,1.0,0.9309236958550287,1.0,1.0,1.0,0.955919175351741,1.0
miplib,ic97_potential,0.05025522421422888,0.04414107116649821,0.022530553512958722,0.016903752354575145,0.026809808908715562,0.04893939139379411,0.016997166340769664,0.02155773896238844,0.017106976145893966,0.021839469346067404,0.016827325301615223,0.022530553512958722,0.014262808050138782,0.016903752354575145,0.04659575801841077,0.04439132541306301,0.023730953929951178,0.025157827156142894
miplib,mas74,0.02863948412805166,0.023423912758204823,0.03912520348359509,0.019618505084394604,0.08415804384957422,0.08460716227462642,0.02845382173115757,0.02704436930474572,0.023423912758204823,0.023423912758204823,0.03605966350920052,0.032777916473684665,0.019618505084394604,0.019618505084394604,0.025250070850445616,0.023423912758998817,0.07645866071851322,0.0788667853349125
miplib,uccase12,0.10572424245765208,0.06676013892069574,0.5752697304293792,0.5007467414270556,0.9928580431012853,0.9925663557361339,0.10562782337731691,0.10564723996276104,0.06676013892069574,0.06676013892069574,0.5749461773377611,0.5748132203326021,0.5003623951686619,0.5002581189963372,0.07337152298669213,0.06676013892069574,0.3150146765398198,0.5630706193897422
