name,B:D,B:DFS,B:BFS,B:HEU,B:NOC,B:DFS>D@inc,B:DFS>BFS@inc,B:HEU>D@25,B:NOC>D@25,B:D>BFS@50,B:D>DFS@50,B:D>HEU@50
snp-02-004-104,0.8018377179684479,0.7906096310156329,0.8014912861835317,0.9999852768792159,0.7810615041992494,0.8284503108959634,0.7992518439548437,0.9999853045292967,0.8040143533588849,0.778301651672076,0.8069596845483833,0.7739260253082172
sp98ar,0.2463532150595507,0.24631403641961208,0.23966278472313016,0.2561317060787314,0.21720529052577064,0.2460181205154865,0.24650958621796742,0.2444761754823089,0.2446535914563227,0.24799242841942312,0.24509035695019227,0.24455766306826515
supportcase18,0.11472008498146592,0.12137378095758916,0.10646746940450791,0.12214294153471353,0.09414358883659237,0.12009584089718894,0.11355784501544797,0.11502818438066953,0.10289129342512573,0.11696372086215912,0.14072902285124567,0.12893743836799187
supportcase22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
supportcase42,0.1004119893922461,0.09979945468197278,0.10608270821068372,0.1246180677894847,0.10045725523298679,0.11343328809743594,0.0972493608158064,0.10168530799581872,0.09960867024693162,0.0996769563196993,0.09853366600455762,0.09848550323395111
swath3,0.08299505279226996,0.09392997122771754,0.07465316783064554,0.08911320215766905,0.05005582062148507,0.09246392618328453,0.0966344805576257,0.07487615082419138,0.052050663018418514,0.07753016153561815,0.11346365835433303,0.07018559093633053
timtab1,0.10581462457933721,0.1009650583420609,0.1905279947221336,0.11317966294911866,0.04601795520316003,0.09385994036220457,0.15363861128177558,0.10171658598293482,0.03745657507023924,0.14885901781378658,0.10381710869285012,0.10877927396150823
tr12-30,0.005693020908860643,0.008012004287978259,0.008232701203732104,0.008677738211697924,0.13430404969775983,0.005675713209842731,0.005749411565692595,0.008831986511038878,0.05600777335593267,0.010665323997468324,0.005664666283830624,0.0057199331448810845
traininstance6,0.4208550240064619,0.4079158527023776,0.39493449993093294,0.4535865761778355,0.1428471091702206,0.42640176152051645,0.41609739031230647,0.4034173484671347,0.1483533468305462,0.4200662119222036,0.44063823127587043,0.4163649287516563
uccase12,0.54543789278248,0.5572354003406335,0.5775916009585842,0.6232346605214829,0.5780856853827703,0.588299546702012,0.5535986866004505,0.6088969228768897,0.6093306816979243,0.564502181783029,0.570778262791048,0.5716373176737447
