sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
neos-860300__scip__s0.json.gz,neos-860300.mps.gz,S0,0,True,0.0,0.0,0.0,3201.0,3201.0,0.0,0
neos-873061__scip__s0.json.gz,neos-873061.mps.gz,S0,0,True,0.0,0.0,1.3877787807814457e-17,555.8274522905,555.8274524319471,2.5448026453402603e-10,0
neos-911970__scip__s0.json.gz,neos-911970.mps.gz,S0,0,True,1.8253971967131773e-15,2.9112514867948517e-15,5.465713352000771e-16,54.76,54.76,0.0,0
neos17__scip__s0.json.gz,neos17.mps.gz,S0,0,True,0.0,0.0,4.440892098500626e-16,0.15000257742257742,0.15000257742257772,3.0531133177191805e-16,0
neos5__scip__s0.json.gz,neos5.mps.gz,S0,0,True,0.0,0.0,0.0,15.0,15.0,0.0,0
neos8__scip__s0.json.gz,neos8.mps.gz,S0,0,True,0.0,0.0,0.0,-3719.0,-3719.0,0.0,0
opm2-z10-s4__scip__s0.json.gz,opm2-z10-s4.mps.gz,S0,0,True,0.0,0.0,0.0,-20344.0,-20344.0,0.0,0
p200x1188c__scip__s0.json.gz,p200x1188c.mps.gz,S0,0,True,1.7541523789077473e-12,4.440892098500626e-16,6.543859065142931e-13,15078.000000000002,15078.0,1.2063863931196819e-16,0
piperout-27__scip__s0.json.gz,piperout-27.mps.gz,S0,0,True,3.400058012914548e-16,7.105427357601002e-15,7.105427357601002e-15,8124.0,8124.0,0.0,0
pk1__scip__s0.json.gz,pk1.mps.gz,S0,0,True,0.0,0.0,0.0,11.0,11.0,0.0,0
radiationm40-10-02__scip__s0.json.gz,radiationm40-10-02.mps.gz,S0,0,True,0.0,0.0,0.0,232196.0,232196.0,0.0,0
rail507__scip__s0.json.gz,rail507.mps.gz,S0,0,True,0.0,0.0,0.0,178.0,178.0,0.0,0
roll3000__scip__s0.json.gz,roll3000.mps.gz,S0,0,True,0.0,0.0,3.552713678800501e-15,12889.999999999998,12889.999999999998,0.0,0
s100__scip__s0.json.gz,s100.mps.gz,S0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
satellites2-40__scip__s0.json.gz,satellites2-40.mps.gz,S0,0,True,0.0,0.0,2.470075193179041e-16,49.0,49.0,0.0,0
seymour1__scip__s0.json.gz,seymour1.mps.gz,S0,0,True,0.0,0.0,2.220446049250313e-16,410.7637013945249,410.7637013945249,0.0,0
seymour__scip__s0.json.gz,seymour.mps.gz,S0,0,True,1.9984014443252818e-15,1.9984014443252818e-15,3.9968028886505635e-15,428.0,428.0,0.0,0
sing326__scip__s0.json.gz,sing326.mps.gz,S0,0,True,1.4210854715202004e-13,0.0,2.1986633928823526e-16,12999416.56753918,12999416.567536652,1.9444022386501478e-13,0
snp-02-004-104__scip__s0.json.gz,snp-02-004-104.mps.gz,S0,0,True,1.8189894035458565e-12,1.9326762412674725e-12,1.1641532182693481e-10,586965285.9129442,586965285.9129162,4.7727154768382427e-14,0
sorrell3__scip__s0.json.gz,sorrell3.mps.gz,S0,0,True,0.0,0.0,0.0,-11.0,-11.0,0.0,0
sp150x300d__scip__s0.json.gz,sp150x300d.mps.gz,S0,0,True,3.552713678800501e-15,4.107825191113079e-15,1.0025625295229101e-11,69.00000000000001,69.0,2.0595441616234788e-16,0
sp98ar__scip__s0.json.gz,sp98ar.mps.gz,S0,0,True,1.1102230246251565e-16,2.220446049250313e-16,1.7763568394002506e-16,570639113.6,570639113.6,0.0,0
supportcase18__scip__s0.json.gz,supportcase18.mps.gz,S0,0,True,0.0,0.0,0.0,50.0,50.0,0.0,0
supportcase26__scip__s0.json.gz,supportcase26.mps.gz,S0,0,True,0.0,1.6209256159527285e-14,4.529709940470639e-14,1772.9625225489851,1772.962522548985,1.2824505456344185e-16,0
supportcase42__scip__s0.json.gz,supportcase42.mps.gz,S0,0,True,0.0,0.0,0.0,8.0,8.0,0.0,0
swath3__scip__s0.json.gz,swath3.mps.gz,S0,0,True,1.7763568394002506e-16,1.7763568394002506e-16,9.237055564881302e-14,400.20529744999976,400.20529745,5.681425930441093e-16,0
timtab1__scip__s0.json.gz,timtab1.mps.gz,S0,0,True,1.4210854715202004e-14,1.4210854715202004e-14,2.84217e-14,764771.9999998801,764771.9999998803,3.044445189597763e-16,0
tr12-30__scip__s0.json.gz,tr12-30.mps.gz,S0,0,True,2.9132252166164108e-12,9.323380524358184e-15,1.0959965003628568e-11,130599.0,130599.0,0.0,0
traininstance6__scip__s0.json.gz,traininstance6.mps.gz,S0,0,True,0.0,0.0,0.0,32160.0,32160.0,0.0,0
uccase12__scip__s0.json.gz,uccase12.mps.gz,S0,0,True,2.4158453015843406e-12,0.0,5.684341886080802e-14,11507.4058903849,11507.405890384878,1.8968543432354953e-15,0
